NHL_player_ID, player,season,timeOnIce,ot,shutouts,wins,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8471251,Justin Peters,20132014,1225:20,4,1,7,NA,9,575,88,10,477,10,518,98,0.919,2.4973,21,20,626,51,89.79591836734694,100.0,92.08494208494209,
8471251,Justin Peters,20142015,646:59,1,0,3,NA,6,259,40,5,214,5,240,49,0.881,3.2458,12,9,294,35,81.63265306122449,100.0,89.16666666666667,
8471251,Justin Peters,20162017,132:55,0,0,0,NA,1,63,2,0,61,0,66,4,0.9,3.1599,3,1,70,7,50.0,NA,92.42424242424242,
8471301,Jeff Glass,20172018,820:54,3,0,3,0,7,406,60,7,339,9,374,69,0.898,3.36,15,13,452,46,86.95652173913044,77.77777777777779,90.64171122994652,
8471302,Justin Pogge,20082009,371:42,1,0,1,NA,4,146,22,2,122,2,143,28,0.844,4.3584,7,6,173,27,78.57142857142857,100.0,85.3146853146853,
8471305,Daniel Lacosta,20072008,13:09,0,0,0,NA,0,5,0,0,5,0,5,0,1.0,0.0,1,0,5,0,NA,NA,100.0,
8471305,Daniel Lacosta,20082009,155:41,0,1,2,NA,0,76,15,4,57,4,60,16,0.95,1.5416,3,2,80,4,93.75,100.0,95.0,
8471306,Thomas Greiss,20072008,128:49,1,0,0,NA,1,43,13,4,26,4,33,13,0.86,3.2604,3,2,50,7,100.0,100.0,78.78787878787878,
8471306,Thomas Greiss,20092010,782:24,1,0,7,NA,4,364,58,6,300,9,325,65,0.912,2.684,16,11,399,35,89.23076923076924,66.66666666666666,92.3076923076923,
8471306,Thomas Greiss,20112012,1042:43,1,0,9,NA,7,432,63,18,351,19,377,76,0.915,2.3017,19,14,472,40,82.89473684210526,94.73684210526315,93.10344827586206,
8471306,Thomas Greiss,20122013,308:12,0,1,1,NA,4,140,20,8,112,8,122,23,0.915,2.5308,6,5,153,13,86.95652173913044,100.0,91.80327868852459,
8471306,Thomas Greiss,20132014,1312:20,5,2,10,NA,8,576,66,20,490,24,526,76,0.92,2.286,25,20,626,50,86.8421052631579,83.33333333333334,93.15589353612167,
